X,Y,OBJECTID,YEAR,overed,not_resed
120.4831,24.1043,15884,83,1,0
120.4955,24.08628,16403,82,1,0
120.4955,24.09305,16174,83,1,0
120.498,24.08178,16528,83,1,0
120.5004,24.07953,16578,83,1,0
120.5029,24.07728,16627,82,1,0
120.5078,24.09084,16255,83,1,0
120.5102,24.09085,16256,83,1,0
120.5102,24.09987,16000,82,1,0
120.5102,24.10213,15948,83,1,0
120.5127,24.07957,16582,82,1,0
120.5127,24.08408,16472,82,1,0
120.5127,24.0886,16334,83,1,0
120.5127,24.09085,16257,83,1,0
120.5127,24.09537,16108,83,1,0
120.5126,24.10214,15949,83,1,0
120.5152,24.06377,16903,82,1,0
120.5152,24.06603,16856,82,1,0
120.5152,24.07732,16632,82,1,0
120.5152,24.0886,16335,83,1,0
120.5151,24.09086,16258,83,1,0
120.5151,24.09538,16109,83,1,0
120.5151,24.09763,16055,82,1,0
120.5177,24.05701,17045,82,1,0
120.5177,24.06604,16857,82,1,0
120.5177,24.07733,16633,82,1,0
120.5176,24.08184,16535,82,1,0
120.5176,24.09313,16183,83,1,0
120.5176,24.09538,16110,83,1,0
120.5176,24.09764,16056,83,1,0
120.5176,24.10216,15950,83,1,0
120.5201,24.08636,16413,83,1,0
120.5201,24.09313,16184,83,1,0
120.52,24.09539,16111,83,1,0
120.52,24.09765,16057,83,1,0
120.5226,24.07508,16684,82,1,0
120.5226,24.07734,16635,82,1,0
120.5225,24.08863,16338,83,1,0
120.5225,24.09088,16260,83,1,0
120.5225,24.09314,16185,83,1,0
120.5251,24.05703,17047,82,1,0
120.5251,24.0638,16906,82,1,0
120.5251,24.06832,16811,82,1,0
120.525,24.09089,16261,83,1,0
120.525,24.09315,16186,83,1,0
120.5276,24.0593,17001,82,1,0
120.5275,24.06155,16955,82,1,0
120.5275,24.07736,16637,82,1,0
120.5274,24.09316,16187,83,1,0
120.5299,24.08639,16417,82,1,0
120.5299,24.09091,16263,83,1,0
120.5299,24.09994,16005,83,1,0
120.5324,24.07963,16589,82,1,0
120.5348,24.09544,16117,83,1,0
120.5399,24.05708,17051,82,1,0
120.5398,24.06159,16957,82,1,0
120.5422,24.09546,16120,82,1,0
120.5471,24.09547,16122,82,1,0
120.5643,22.60101,43610,87,1,0
120.6279,24.21533,61169,92,1,0
120.6402,24.20633,61448,91,1,0
120.6676,24.08224,16566,83,1,0
120.6701,24.0845,16513,83,1,0
120.6725,24.10708,15870,83,1,0
120.675,24.08903,16384,82,1,0
120.675,24.09128,16311,82,1,0
120.6774,24.08678,16459,82,1,0
120.6848,24.08453,16516,83,1,0
120.6848,24.08679,16461,83,1,0
121.1752938,24.91543745,48516,91,1,0
121.1828013,24.96960286,79601,94,1,0
121.2077291,25.07339742,98018,93,1,0
121.2226,25.04629,98535,92,1,0
121.225,25.04403,98542,93,1,0
121.2250338,25.04854416,98278,92,1,0
121.2250377,25.05080128,98279,92,1,0
121.2275,25.04403,98553,93,1,0
121.2275117,25.04854028,98283,92,1,0
121.2275195,25.05305452,98285,93,1,0
121.2325,25.04402,98568,93,1,0
121.2349,25.03047,98571,93,1,0
121.2349169,25.03272847,9521,86,1,0
121.2349291,25.03949979,46084,92,1,0
121.2373861,25.02821021,9596,86,1,0
121.2374,25.03047,98580,93,1,0
121.2398677,25.03046317,9554,86,1,0
121.2398719,25.03272025,9523,86,1,0
121.2399,25.03498,98591,93,1,0
121.2423323,25.02368776,9671,86,1,0
121.2423366,25.02594483,9638,86,1,0
121.2423451,25.030459,9555,86,1,0
121.2423579,25.03723027,9465,86,1,0
121.2448225,25.03045478,9556,86,1,0
121.2448,25.03271,98610,93,1,0
121.2448312,25.03496895,9489,86,1,0
121.2448355,25.03722606,9466,86,1,0
121.247247,25.00336556,9949,89,1,0
121.2472868,25.02367933,9672,86,1,0
121.2473,25.02594,98617,93,1,0
121.2472956,25.02819348,9599,86,1,0
121.2473,25.03271,98620,93,1,0
121.2473087,25.03496473,194,87,1,0
121.2497551,25.01916094,97788,93,1,0
